Management Region,ReefName,ReefID,Area (ha),Longitude,Latitude,TUMRA
Far Northern,U/N Reef (10-384),10-384,981.709,143.964,-10.71,
Far Northern,U/N Reef (10-385),10-385,155.828,143.959,-10.725,
Far Northern,U/N Reef (10-386),10-386,454.865,143.98,-10.723,
Far Northern,U/N Reef (10-400),10-400,356.319,143.99,-10.794,
Far Northern,U/N Reef (10-403),10-403,445.53,143.996,-10.824,
Far Northern,U/N Reef (10-412),10-412,1953.092,144.014,-10.887,
Far Northern,U/N Reef (10-414),10-414,1369.089,144.018,-10.927,
Far Northern,U/N Reef (10-418b),10-418b,383.993,144.018,-10.986,
Far Northern,U/N Reef (10-426),10-426,464.806,144.014,-10.951,
Far Northern,McSweeney Reef (11-016),11-016,530.409,143.243,-11.023,
Far Northern,Monsoon Reef (11-029),11-029,427.149,143.253,-11.129,
Far Northern,Turning Point Patches (No 1) (11-048a),11-048a,4217.902,143.406,-11.329,
Far Northern,U/N Reef (11-049),11-049,397.781,143.336,-11.361,
Far Northern,U/N Reef (11-050),11-050,890.442,143.161,-11.377,
Far Northern,U/N Reef (11-054),11-054,1097.263,143.165,-11.434,
Far Northern,U/N Reef (11-056a),11-056a,5386.247,143.401,-11.505,
Far Northern,U/N Reef (11-056b),11-056b,10052.486,143.27,-11.462,
Far Northern,U/N Reef (11-056c),11-056c,3318.395,143.31,-11.397,
Far Northern,Cochin Reef (11-057),11-057,2090.322,143.439,-11.431,
Far Northern,Monkman Reef (11-059),11-059,718.749,143.157,-11.472,
Far Northern,U/N Reef (11-087b),11-087b,270.041,143.959,-11.372,Wuthathi
Far Northern,Risk Reef (11-098),11-098,469.871,143.768,-11.423,Wuthathi
Far Northern,Indefatigable Reef (11-103),11-103,1158.639,143.637,-11.474,
Far Northern,U/N Reef (11-155),11-155,3190.092,143.178,-11.532,
Far Northern,U/N Reef (11-158),11-158,818.785,143.232,-11.58,
Far Northern,U/N Reef (11-159),11-159,1627.756,143.178,-11.59,
Far Northern,U/N Reef (11-162),11-162,341.731,143.291,-11.604,
Far Northern,U/N Reef (11-164),11-164,9834.253,143.434,-11.691,Wuthathi
Far Northern,Cockburn Reef (11-173),11-173,29484.824,143.363,-11.821,Wuthathi
Far Northern,Siddons Reef (11-200),11-200,736.349,143.642,-11.513,
Far Northern,Bowles Reef (11-214),11-214,3382.209,143.684,-11.623,Wuthathi
Far Northern,U/N Reef (11-216),11-216,6817.001,143.578,-11.659,Wuthathi
Far Northern,U/N Reef (11-251),11-251,63.456,143.37,-11.552,
Northern,MacGillivray Reef (14-114),14-114,91.598,145.491,-14.652,
Northern,Lizard Island Reef (North West) (14-116a),14-116a,203.006,145.447,-14.659,
Northern,Lizard Island Reef (North East) (14-116b),14-116b,184.504,145.466,-14.655,
Northern,Lizard Island Reef (Coconut Bay) (14-116c),14-116c,62.05,145.472,-14.681,
Northern,Lizard Island Reef (Lagoon) (14-116d),14-116d,913.135,145.45,-14.686,
Northern,Eyrie Reef (14-118),14-118,1499.693,145.379,-14.711,
Northern,Martin Reef (14-123),14-123,1090.863,145.356,-14.763,
Northern,Linnet Reef (14-126),14-126,383.168,145.344,-14.787,
Northern,Rocky Islets Reef (14-132a),14-132a,613.219,145.48,-14.855,
Northern,U/N Reef (14-132b),14-132b,675.38,145.528,-14.866,
Northern,U/N Reef (14-132c),14-132c,18.228,145.489,-14.869,
Northern,U/N Reef (14-133),14-133,558.124,145.516,-14.917,
Northern,Eye Reef (14-134),14-134,141.902,145.478,-14.895,
Northern,Helsdon Reef (14-135),14-135,1256.178,145.488,-14.939,
Northern,North Direction Reef (14-143),14-143,69.182,145.511,-14.746,
Northern,U/N Reef (14-145),14-145,612.508,145.586,-14.79,
Northern,South Direction Reef (North) (14-147a),14-147a,199.755,145.524,-14.824,
Northern,South Direction Reef (South) (14-147b),14-147b,132.722,145.521,-14.812,
Northern,U/N Reef (14-149),14-149,5499.069,145.618,-14.843,
Northern,U/N Reef (14-150),14-150,118.141,145.557,-14.883,
Northern,U/N Reef (14-163),14-163,41.787,145.454,-14.909,
Northern,Two Islands Reef (15-002),15-002,187.619,145.442,-15.023,
Northern,Low Wooded Reef (15-003),15-003,87.977,145.38,-15.094,
Northern,Three Islands Reef (15-005),15-005,165.306,145.422,-15.115,
Northern,Forrester Reef (15-009),15-009,1439.251,145.496,-15.167,
Northern,Boulder Reef (15-012),15-012,1355.364,145.431,-15.414,
Northern,Egret Reef (15-013),15-013,1195.189,145.418,-15.474,
Northern,Gull Reef (15-016),15-016,58.527,145.569,-15.005,
Northern,Pasco Reef (15-018),15-018,249.076,145.533,-15.045,
Northern,Long Reef (15-019),15-019,1116.679,145.57,-15.051,
Northern,U/N Reef (15-022),15-022,589.184,145.636,-15.098,
Northern,U/N Reef (15-023),15-023,368.394,145.67,-15.094,
Northern,Mackay Reefs (15-024),15-024,3246.696,145.571,-15.139,
Northern,Opal Reef (16-025),16-025,2853.69,145.89,-16.221,
Northern,Marx Reef (15-027),15-027,135.064,145.621,-15.198,
Northern,Startle Reefs (15-028),15-028,2122.06,145.556,-15.207,
Northern,Swinger Reef (15-030),15-030,526.876,145.537,-15.242,
Northern,Lark Reef (15-033),15-033,6845.518,145.574,-15.288,
Northern,U/N Reef (15-035),15-035,26.099,145.639,-15.319,
Northern,U/N Reef (15-036),15-036,81.861,145.647,-15.331,
Northern,Williamson Reefs (15-039),15-039,3322.096,145.582,-15.359,
Northern,U/N Reef (15-041),15-041,84.199,145.766,-15.4,
Northern,U/N Reef (15-044),15-044,272.119,145.613,-15.428,
Northern,U/N Reef (15-045),15-045,41.166,145.658,-15.43,
Northern,U/N Reef (15-047),15-047,445.362,145.677,-15.462,
Northern,U/N Reef (15-048),15-048,165.388,145.655,-15.484,
Northern,U/N Reef (15-049),15-049,235.297,145.503,-15.486,
Northern,Vicki Harriott Reef (15-070),15-070,1230.097,145.618,-15.503,Yuku Baja Muliku
Northern,U/N Reef (15-071a),15-071a,125.279,145.534,-15.513,Yuku Baja Muliku
Northern,U/N Reef (15-071b),15-071b,172.124,145.546,-15.506,Yuku Baja Muliku
Northern,U/N Reef (15-071c),15-071c,137.705,145.57,-15.51,Yuku Baja Muliku
